oid,cruise,tow,haul,haul_type,haul_date,bed_code,station,gear_code,sensor,start_lat,start_lon,heading,start_depth,start_time,cable_out,avg_speed,avg_depth,weather,surface_temp,end_lat,end_lon,end_depth,end_time,duration,distance,gear_perf,notes
383857146,1901,19010150,150,10,2019-05-16,WK1,EN33,1,1,59.7158,-144.8200,160,47.0,12:26:00,122,5.0,49.0,033,40.00,59.7008,-144.8070,52.0,12:39:00,12,1.01,1,Haul: CABLE OUT 122/137 Catch: no subsample taken - forgot to take it before all unsorted was dumped
383857147,1901,19010151,151,10,2019-05-16,WK1,EO32,1,1,59.6890,-144.8373,315,70.0,13:59:00,184,5.0,,033,40.00,59.6968,-144.8673,63.0,14:12:00,13,1.02,1,
383857149,1901,19010152,152,10,2019-05-16,WK1,EN30,1,1,59.7002,-144.8992,306,64.0,14:44:00,180,5.0,63.0,034,39.00,59.7123,-144.9235,63.0,14:57:00,13,1.04,1,
383857150,1901,19010153,153,10,2019-05-16,WK1,EM30,1,1,59.7178,-144.9075,330,60.0,15:19:00,181,5.0,61.0,034,41.00,59.7328,-144.9170,61.0,15:31:49,12,1.02,1,
383857151,1901,19010154,154,11,2019-05-16,WK1,EM30,3,1,59.7177,-144.9073,320,61.0,15:52:00,190,5.0,61.0,034,41.00,59.7330,-144.9163,61.6,16:04:35,12,1.02,1,
383857152,1901,19010155,155,10,2019-05-16,WK1,EL31,1,1,59.7333,-144.8823,18,53.0,16:24:00,153,5.0,53.0,034,42.00,59.7497,-144.8767,54.0,16:36:00,12,0.98,1,
383857153,1901,19010156,156,10,2019-05-16,WK1,EK32,1,1,59.7507,-144.8502,355,44.0,17:02:25,123,5.0,45.0,033,42.00,59.7668,-144.8490,46.0,17:14:19,12,1.01,1,
383857154,1901,19010157,157,10,2019-05-16,WK1,EJ32,1,1,59.7670,-144.8393,354,42.0,17:44:42,112,5.0,47.0,033,42.00,59.7820,-144.8403,50.0,17:56:01,12,0.94,1,
383857155,1901,19010158,158,10,2019-05-16,WK1,EI32,1,1,59.7837,-144.8512,21,61.0,18:21:45,164,5.0,62.0,023,42.00,59.7985,-144.8408,66.0,18:33:10,12,1.02,1,CABLE OUT 164/171
383857156,1901,19010159,159,10,2019-05-16,WK1,EH32,1,1,59.8027,-144.8543,44,78.0,18:50:55,215,5.0,78.0,034,40.00,59.8172,-144.8327,77.0,19:03:40,13,1.04,1,No scallops caught
